"","Booted Racketail","Buff-tailed Coronet","Violet-tailed Sylph","Sparkling Violetear","Tawny-bellied Hermit","Brown Inca","Speckled Hummingbird","Gorgeted Sunangel","Collared Inca","Stripe-throated Hermit","White-whiskered Hermit","Booted Racket-tail","Andean Emerald","Purple-bibbed Whitetip","Green-crowned Brilliant","Green-fronted Lancebill","Green-crowned Woodnymph","Wedge-billed Hummingbird","Crowned Woodnymph","Fawn-breasted Brilliant","Green Violetear","Tyrian Metaltail","White-sided Flowerpiercer"
"Burmeistera cylindrocarpa",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Columnea ciliata",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Drymonia teuscheri",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macleania macrantha",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macleania recumbens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Psammisia ulbrichiana",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stromanthe stromanthoides",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glossoloma oblongicalyx",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Heliconia virginalis",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"Columnea medicinalis",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tillandsia complanata",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fuchsia macrostigma",0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gasteranthus quitensis",0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Renealmia sessilifolia",0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Palicourea demissa",1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
"Psammisia ecuadorensis",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Columnea mastersonii",0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Guzmania squarrosa",0,0,3,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glossoloma purpureum",0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0
"Mezobromelia capituligera",0,0,3,0,4,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Macleania bullata",0,0,0,0,4,2,0,2,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"Macleania stricta",0,0,1,0,0,0,8,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Centropogon solanifolius",0,0,1,0,10,0,0,0,0,0,3,0,0,0,2,0,1,1,0,0,0,0,0
"Psammisia sodiroi",1,0,9,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heliconia griggsiana",0,0,0,0,6,6,0,0,0,4,6,0,8,0,1,0,0,1,0,0,0,0,0
"Meriania tomentosa",1,45,4,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Sarcopera anomala",19,1,3,40,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0
"Besleria solanoides",43,1,17,4,0,2,5,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0
